collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.6,0.3940877704578209,90,200,0.01,0.3733333333333333,0.37,0.9910714285714286,0.272,0.254,1.1390134529147982,0.279,1.1027667984189724,0.28,1.15702479338843,0.291,1.0698529411764703
dbpedia-entity,0.6,0.3940877704578209,90,200,0.02,0.56,0.5566666666666666,0.9940476190476192,0.49,0.515,1.03,0.527,1.1382289416846652,0.519,1.101910828025478,0.511,1.042857142857143
dbpedia-entity,0.6,0.3940877704578209,90,200,0.05,0.93,0.9166666666666666,0.985663082437276,0.977,0.962,0.984646878198567,0.979,0.9969450101832994,0.975,1.0010266940451746,0.978,1.0010235414534288
dbpedia-entity,0.6,0.3940877704578209,90,300,0.005,0.2733333333333333,0.2833333333333333,1.0365853658536586,0.177,0.189,1.0988372093023258,0.179,1.1049382716049383,0.181,1.0773809523809523,0.198,1.1186440677966103
dbpedia-entity,0.6,0.3940877704578209,90,300,0.01,0.3933333333333333,0.4166666666666667,1.0593220338983051,0.241,0.279,1.0449438202247192,0.271,1.0627450980392157,0.294,1.13953488372093,0.274,1.136929460580913
dbpedia-entity,0.6,0.3940877704578209,90,300,0.02,0.55,0.5466666666666666,0.993939393939394,0.484,0.505,1.0836909871244635,0.529,1.0496031746031746,0.533,1.1244725738396626,0.534,1.103305785123967
dbpedia-entity,0.6,0.3940877704578209,90,300,0.05,0.91,0.92,1.010989010989011,0.976,0.97,0.9938524590163934,0.975,1.0010266940451746,0.976,0.9979550102249489,0.968,0.9918032786885246
dbpedia-entity,0.9,0.2611683203829226,60,50,0.005,0.1466666666666666,0.1366666666666666,0.9318181818181818,0.11,0.092,0.989247311827957,0.122,1.079646017699115,0.108,1.0588235294117647,0.11,1.0
dbpedia-entity,0.9,0.2611683203829226,60,50,0.01,0.19,0.1733333333333333,0.912280701754386,0.155,0.147,0.8596491228070174,0.151,1.0,0.156,1.0469798657718121,0.156,1.0064516129032257
dbpedia-entity,0.9,0.2611683203829226,60,50,0.02,0.38,0.3033333333333333,0.7982456140350878,0.301,0.288,0.9896907216494846,0.309,1.0404040404040404,0.311,1.0506756756756757,0.3,0.9966777408637874
dbpedia-entity,0.9,0.2611683203829226,60,50,0.05,0.8133333333333334,0.7433333333333333,0.9139344262295082,0.843,0.785,0.9192037470725996,0.866,1.0,0.844,0.9941107184923439,0.832,0.9869513641755635
dbpedia-entity,0.9,0.2611683203829226,60,100,0.005,0.1433333333333333,0.1066666666666666,0.7441860465116279,0.098,0.105,0.9459459459459459,0.108,0.9391304347826086,0.109,1.058252427184466,0.097,0.9897959183673469
dbpedia-entity,0.9,0.2611683203829226,60,100,0.01,0.2066666666666666,0.2166666666666666,1.0483870967741935,0.133,0.135,0.8823529411764707,0.169,1.0562500000000001,0.17,1.069182389937107,0.132,0.9924812030075187
dbpedia-entity,0.9,0.2611683203829226,60,100,0.02,0.3833333333333333,0.34,0.8869565217391304,0.294,0.294,0.9735099337748344,0.31,1.1151079136690647,0.292,1.024561403508772,0.299,1.0170068027210883
dbpedia-entity,0.9,0.2611683203829226,60,100,0.05,0.7633333333333333,0.7033333333333334,0.9213973799126638,0.861,0.816,0.9379310344827586,0.842,1.0047732696897376,0.865,1.0081585081585083,0.834,0.9686411149825783
dbpedia-entity,0.9,0.2611683203829226,60,200,0.005,0.1533333333333333,0.16,1.0434782608695652,0.111,0.126,1.05,0.111,1.0471698113207548,0.12,1.1650485436893203,0.108,0.9729729729729729
dbpedia-entity,0.9,0.2611683203829226,60,200,0.01,0.2333333333333333,0.2466666666666666,1.0571428571428572,0.157,0.159,0.9814814814814815,0.187,1.1614906832298135,0.164,1.086092715231788,0.152,0.9681528662420382
dbpedia-entity,0.9,0.2611683203829226,60,200,0.02,0.3266666666666666,0.3066666666666666,0.9387755102040816,0.284,0.277,0.929530201342282,0.336,1.0666666666666667,0.309,1.0766550522648084,0.278,0.9788732394366199
dbpedia-entity,0.9,0.2611683203829226,60,200,0.05,0.7866666666666666,0.74,0.940677966101695,0.863,0.81,0.9665871121718378,0.85,1.0011778563015312,0.864,1.0058207217694994,0.839,0.9721900347624565
dbpedia-entity,0.9,0.2611683203829226,60,300,0.005,0.1366666666666666,0.15,1.0975609756097562,0.102,0.097,0.9326923076923077,0.103,1.226190476190476,0.1,1.098901098901099,0.103,1.0098039215686274
dbpedia-entity,0.9,0.2611683203829226,60,300,0.01,0.2366666666666666,0.24,1.0140845070422535,0.157,0.139,0.9652777777777779,0.19,1.1728395061728394,0.183,1.0166666666666666,0.157,1.0
dbpedia-entity,0.9,0.2611683203829226,60,300,0.02,0.32,0.33,1.03125,0.315,0.313,1.022875816993464,0.318,1.003154574132492,0.288,1.0034843205574913,0.315,1.0
dbpedia-entity,0.9,0.2611683203829226,60,300,0.05,0.7633333333333333,0.72,0.9432314410480348,0.855,0.829,0.948512585812357,0.872,1.011600928074246,0.885,1.0314685314685315,0.825,0.9649122807017544
dbpedia-entity,0.9,0.2611683203829226,90,50,0.005,0.3266666666666666,0.2466666666666666,0.7551020408163265,0.167,0.154,0.8953488372093024,0.164,0.8723404255319149,0.154,1.0065359477124183,0.172,1.029940119760479
dbpedia-entity,0.9,0.2611683203829226,90,50,0.01,0.3333333333333333,0.3233333333333333,0.97,0.241,0.255,0.9239130434782608,0.278,1.033457249070632,0.263,0.9528985507246377,0.242,1.004149377593361
