collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,var_ratio,cost_ratio,saving_pred,saving_obs
cast19,rr,0.01,active_judge,974.796435185185,2775.3447368421052,3457.16,0.64876563900514,2.232252369207035,1.3786709095948535,-0.7994429957241997,-0.24566867463596265
cast19,rr,0.01,ai_calib,974.796435185185,2775.3447368421052,2906.4988148148145,0.64876563900514,1.542472869628363,1.0728411883491364,-0.35193775790739684,-0.04725686010522123
cast19,rr,0.01,ai_resid,974.796435185185,2775.3447368421052,2500.144126984127,0.64876563900514,1.5491353391364229,0.8471573300173453,-0.3562601391951456,0.09915907245854871
cast19,rr,0.01,ai_robust_0.3,974.796435185185,2775.3447368421052,2478.3997777777777,0.64876563900514,1.0005189987148064,0.835080814665694,-0.0003367085328542393,0.10699390065761816
cast19,rr,0.01,ai_robust_0.5,974.796435185185,2775.3447368421052,2422.862962962963,0.64876563900514,1.0218504329133233,0.8042364242298985,-0.014175810071551156,0.12700468132842102
cast19,rr,0.01,strat_pilot,974.796435185185,2775.3447368421052,2736.5570588235296,0.64876563900514,1.0000510604678832,0.9784578519871518,-3.312627707412512e-05,0.013975805421098664
cast19,rr,0.01,uniform_nz,974.796435185185,2775.3447368421052,3485.0226754385963,0.64876563900514,2.109412604536374,1.3941454599931717,-0.7197487773023974,-0.255708031213445
cast19,rr,0.01,weighted_cv,974.796435185185,2775.3447368421052,2656.839460784314,0.64876563900514,1.0528362180744615,0.9341837839347386,-0.034278322781692926,0.042699299472479746
cast19,rr,0.01,weighted_cvl,974.796435185185,2775.3447368421052,2420.6156462585036,0.64876563900514,0.778181705206439,0.8029882951447795,0.1439080877647751,0.1278144245918892
cast19,rr,0.02,active_cv,975.293564814815,2127.2223129251697,2355.3166666666666,0.5415178005190832,1.6345752551955182,1.1980108180437958,-0.3436337964573129,-0.10722638266606066
cast19,rr,0.02,active_judge,975.293564814815,2127.2223129251697,2860.4618007662834,0.5415178005190832,2.235314709033524,1.6365319808572651,-0.6689449041847052,-0.34469339823388134
cast19,rr,0.02,ai_calib,975.293564814815,2127.2223129251697,2418.630823529412,0.5415178005190832,1.4950982600617007,1.2529744231856996,-0.2681045208294372,-0.13699015323110375
cast19,rr,0.02,ai_resid,975.293564814815,2127.2223129251697,1969.7956444444444,0.5415178005190832,1.1411092919089068,0.8633364531105149,-0.07641319338731645,0.07400574332273058
cast19,rr,0.02,ai_robust_0.3,975.293564814815,2127.2223129251697,2013.3276023391813,0.5415178005190832,0.9826444623657246,0.901126948370007,0.009398332566539009,0.05354151744928359
cast19,rr,0.02,ai_robust_0.5,975.293564814815,2127.2223129251697,2005.7603418803417,0.5415178005190832,0.980251697156343,0.8945577395788789,0.01069405751988191,0.057098860945005825
cast19,rr,0.02,strat_pilot,975.293564814815,2127.2223129251697,2075.6465384615385,0.5415178005190832,1.010089109165637,0.9552265931827493,-0.005463432204572664,0.024245596781423684
cast19,rr,0.02,uniform,975.293564814815,2127.2223129251697,4777.964230769231,0.5415178005190832,3.9229428486125,3.3011335746176904,-1.5828255824236246,-1.246104792027587
cast19,rr,0.02,uniform_nz,975.293564814815,2127.2223129251697,2822.517619047619,0.5415178005190832,2.0259903118046934,1.6035922857755087,-0.5555920170023658,-0.32685596700343944
cast19,rr,0.02,weighted_cv,975.293564814815,2127.2223129251697,2004.1566666666668,0.5415178005190832,1.0471132434744757,0.8931655742940854,-0.025512659981618103,0.05785274322798628
cast19,rr,0.02,weighted_cvl,975.293564814815,2127.2223129251697,1838.317098765432,0.5415178005190832,0.784624563391923,0.749198711609843,0.11662963271784309,0.13581336205639005
dbpedia-entity,llm,0.01,active_cv,1028.4747005208333,3580.780196078431,4861.6,0.7127791586740818,1.9514853940969947,1.5018285648606304,-0.678198958695133,-0.35769294225998216
dbpedia-entity,llm,0.01,active_judge,1028.4747005208333,3580.780196078431,6039.537747747749,0.7127791586740818,3.049104289707966,1.9633476697632377,-1.4605588316534959,-0.6866541415644778
dbpedia-entity,llm,0.01,ai_calib,1028.4747005208333,3580.780196078431,3978.781711711712,0.7127791586740818,1.0862628868172208,1.1559380396766847,-0.06148638789037621,-0.11114938472603297
dbpedia-entity,llm,0.01,ai_resid,1028.4747005208333,3580.780196078431,2859.345614035088,0.7127791586740818,0.8692950212858692,0.7173400350001079,0.09316378476237192,0.20147413204346853
dbpedia-entity,llm,0.01,ai_robust_0.3,1028.4747005208333,3580.780196078431,2945.3326666666662,0.7127791586740818,0.7503656729108491,0.7510299881743038,0.17793414563877552,0.177460635564196
dbpedia-entity,llm,0.01,ai_robust_0.5,1028.4747005208333,3580.780196078431,2868.734509803922,0.7127791586740818,0.7443960605859775,0.7210186290340805,0.18218916088930792,0.19885210688282995
dbpedia-entity,llm,0.01,strat_pilot,1028.4747005208333,3580.780196078431,3870.153333333333,0.7127791586740818,0.999146896472261,1.1133771555789733,0.0006080744147637248,-0.08081287356644107
dbpedia-entity,llm,0.01,uniform_nz,1028.4747005208333,3580.780196078431,5838.9775,0.7127791586740818,1.4902491462294858,1.8847676376719258,-0.3494393739901398,-0.63064393240185
