collection,eps,n_train,fixed_cand,method,feasible_frac,slack_med,slack_q25,act_feasible_max,act_max,wrong_max,docs_pilot,J50_total,J50_sampling,budgets
cast19,0.03,10,pilot,per_pair,0.9133333333333332,0.0285235358833418,0.0224099792403208,0.1897810218978102,0.1733333333333333,0.0,490.52000000000004,,,9
cast19,0.03,20,pilot,per_pair,0.98,0.030000000000000002,0.0255944109178057,0.2108843537414966,0.2066666666666666,0.0,972.3033333333331,,,9
cast19,0.03,40,pilot,per_pair,0.9966666666666667,0.030000000000000002,0.0285235358833418,0.2006688963210702,0.2,0.0,1954.5433333333333,,,9
cast19,0.03,80,pilot,per_pair,1.0,0.030000000000000002,0.0285235358833418,0.33,0.33,0.0,3905.71,,,9
cast19,0.03,10,pilot,plugin_exact,0.9133333333333332,0.0285235358833418,0.0224099792403208,1.0,0.9133333333333332,0.0033333333333333,490.52000000000004,2065.551920903955,1575.0319209039546,9
cast19,0.03,20,pilot,plugin_exact,0.98,0.030000000000000002,0.0255944109178057,1.0,0.98,0.0,972.3033333333331,2137.099751243781,1164.7964179104479,9
cast19,0.03,40,pilot,plugin_exact,0.9966666666666667,0.030000000000000002,0.0285235358833418,1.0,0.9966666666666668,0.0,1954.5433333333333,2890.35861952862,935.8152861952864,9
cast19,0.03,80,pilot,plugin_exact,1.0,0.030000000000000002,0.0285235358833418,1.0,1.0,0.0,3905.71,4384.756923076923,479.04692307692324,9
cast19,0.03,10,pilot,static_sum,0.9133333333333332,0.0285235358833418,0.0224099792403208,0.9890510948905108,0.9033333333333332,0.0,490.52000000000004,2117.4114666666665,1626.8914666666665,9
cast19,0.03,20,pilot,static_sum,0.98,0.030000000000000002,0.0255944109178057,1.0,0.98,0.0,972.3033333333331,2217.4618987341773,1245.158565400844,9
cast19,0.03,40,pilot,static_sum,0.9966666666666667,0.030000000000000002,0.0285235358833418,1.0,0.9966666666666668,0.0,1954.5433333333333,2991.3773092369474,1036.8339759036146,9
cast19,0.03,80,pilot,static_sum,1.0,0.030000000000000002,0.0285235358833418,1.0,1.0,0.0,3905.71,4435.605555555556,529.8955555555558,9
dbpedia-entity,0.01,20,best,oracle_exact,1.0,0.009999999999999998,0.009999999999999998,0.9133333333333332,0.9133333333333332,0.0,1030.1566666666665,2105.809090909091,1075.652424242424,10
dbpedia-entity,0.01,20,best,per_pair,1.0,0.009999999999999998,0.009999999999999998,0.56,0.56,0.0,1030.1566666666665,4123.42261904762,3093.265952380954,10
dbpedia-entity,0.01,20,best,plugin_exact,1.0,0.009999999999999998,0.009999999999999998,0.8333333333333334,0.8333333333333334,0.0,1030.1566666666665,2154.857878787879,1124.7012121212124,10
dbpedia-entity,0.01,20,best,static_sum,1.0,0.009999999999999998,0.009999999999999998,0.9,0.9,0.0,1030.1566666666665,2205.7358771929826,1175.5792105263158,10
dbpedia-entity,0.01,10,pilot,oracle_exact,0.79,0.009999999999999998,0.009999999999999998,0.8523206751054853,0.6733333333333333,0.0,512.6166666666667,2780.884320987655,2268.267654320988,10
dbpedia-entity,0.01,20,pilot,oracle_exact,0.8400000000000001,0.009999999999999998,0.009999999999999998,0.8690476190476191,0.73,0.0,1029.1066666666666,2348.999074074074,1319.8924074074075,10
dbpedia-entity,0.01,40,pilot,oracle_exact,0.8933333333333332,0.009999999999999998,0.009999999999999998,0.8955223880597015,0.8,0.0,2058.8433333333332,3113.3445454545454,1054.5012121212121,10
dbpedia-entity,0.01,80,pilot,oracle_exact,0.9433333333333334,0.009999999999999998,0.009999999999999998,0.8869257950530035,0.8366666666666667,0.0,4114.866666666667,5013.035252525252,898.1685858585852,10
dbpedia-entity,0.01,10,pilot,per_pair,0.79,0.009999999999999998,0.009999999999999998,0.5147679324894515,0.4066666666666667,0.0,512.6166666666667,,,10
dbpedia-entity,0.01,20,pilot,per_pair,0.8400000000000001,0.009999999999999998,0.009999999999999998,0.5833333333333334,0.49,0.0,1029.1066666666666,,,10
dbpedia-entity,0.01,40,pilot,per_pair,0.8933333333333332,0.009999999999999998,0.009999999999999998,0.5895522388059702,0.5266666666666666,0.0,2058.8433333333332,5854.310952380953,3795.4676190476193,10
dbpedia-entity,0.01,80,pilot,per_pair,0.9433333333333334,0.009999999999999998,0.009999999999999998,0.5477031802120141,0.5166666666666667,0.0,4114.866666666667,8038.111515151515,3923.2448484848483,10
dbpedia-entity,0.01,10,pilot,plugin_exact,0.79,0.009999999999999998,0.009999999999999998,0.7932489451476793,0.6266666666666667,0.0,512.6166666666667,2899.983859649123,2387.3671929824563,10
dbpedia-entity,0.01,20,pilot,plugin_exact,0.8400000000000001,0.009999999999999998,0.009999999999999998,0.8611111111111112,0.7233333333333334,0.0,1029.1066666666666,2655.1521212121215,1626.0454545454554,10
dbpedia-entity,0.01,40,pilot,plugin_exact,0.8933333333333332,0.009999999999999998,0.009999999999999998,0.8768656716417911,0.7833333333333333,0.0,2058.8433333333332,3339.482105263158,1280.6387719298248,10
dbpedia-entity,0.01,80,pilot,plugin_exact,0.9433333333333334,0.009999999999999998,0.009999999999999998,0.8763250883392226,0.8266666666666667,0.0,4114.866666666667,5250.167333333334,1135.3006666666668,10
dbpedia-entity,0.01,10,pilot,static_sum,0.79,0.009999999999999998,0.009999999999999998,0.8059071729957806,0.6366666666666667,0.0,512.6166666666667,2533.2709523809517,2020.6542857142854,10
dbpedia-entity,0.01,20,pilot,static_sum,0.8400000000000001,0.009999999999999998,0.009999999999999998,0.8333333333333334,0.7,0.0033333333333333,1029.1066666666666,2364.8188888888894,1335.7122222222226,10
dbpedia-entity,0.01,40,pilot,static_sum,0.8933333333333332,0.009999999999999998,0.009999999999999998,0.8656716417910447,0.7733333333333333,0.0,2058.8433333333332,3146.1712121212117,1087.327878787879,10
dbpedia-entity,0.01,80,pilot,static_sum,0.9433333333333334,0.009999999999999998,0.009999999999999998,0.872791519434629,0.8233333333333334,0.0,4114.866666666667,5082.151555555555,967.284888888889,10
dbpedia-entity,0.02,20,best,oracle_exact,1.0,0.019999999999999997,0.019999999999999997,0.99,0.99,0.0,1027.9933333333333,1823.732643678161,795.7393103448275,10
dbpedia-entity,0.02,20,best,per_pair,1.0,0.019999999999999997,0.019999999999999997,0.6566666666666666,0.6566666666666666,0.0,1027.9933333333333,3816.1228571428564,2788.1295238095236,10
dbpedia-entity,0.02,20,best,plugin_exact,1.0,0.019999999999999997,0.019999999999999997,0.9666666666666668,0.9666666666666668,0.0,1027.9933333333333,1828.296129032258,800.3027956989247,10
