collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
webis-touche2020,rr,2,0.01,uniform,9,760,0.0607259665380499,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,uniform_nz,9,760,0.04556860651673554,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,weighted,9,760,0.031834693607835564,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,active_judge,9,760,0.08188860121927494,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,strat_pilot,9,760,0.032341825334765636,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,weighted_cv,9,760,0.02521698451381079,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,active_cv,9,760,0.04189431681645732,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,weighted_cvl,9,760,0.02373476092663816,0.031834693607835564,0.017493297723947872,49,0
webis-touche2020,rr,2,0.01,uniform,10,749,0.06801706052175195,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,uniform_nz,10,749,0.04604554801026771,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,weighted,10,749,0.03752390649436323,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,active_judge,10,749,0.07369869507572213,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,strat_pilot,10,749,0.037723573007185755,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,weighted_cv,10,749,0.03490636971864687,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,active_cv,10,749,0.07599345294245677,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,10,749,0.03080066984961296,0.03752390649436323,0.038800185338111026,49,2
webis-touche2020,rr,2,0.01,uniform,11,733,0.1523483466151883,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,uniform_nz,11,733,0.07631411731121633,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,weighted,11,733,0.05407637977172954,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,active_judge,11,733,0.14486771142431734,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,strat_pilot,11,733,0.054855553193893944,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,weighted_cv,11,733,0.04349892977956077,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,active_cv,11,733,0.08763963474998678,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,11,733,0.03920109953604677,0.05407637977172954,0.06108700137600393,49,2
webis-touche2020,rr,2,0.01,uniform,12,765,0.08568580950704889,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,uniform_nz,12,765,0.06811495643855674,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,weighted,12,765,0.049278962317188056,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,active_judge,12,765,0.12782166140010517,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,strat_pilot,12,765,0.05023860249402816,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,weighted_cv,12,765,0.04020291764598965,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,active_cv,12,765,0.07016947597776543,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,12,765,0.035343683955054904,0.049278962317188056,0.04988103843753999,49,2
webis-touche2020,rr,2,0.01,uniform,13,764,0.17052469080337587,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,uniform_nz,13,764,0.08857734088005696,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,weighted,13,764,0.061219465446870416,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,active_judge,13,764,0.15346958559705726,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,strat_pilot,13,764,0.061950102942820974,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,weighted_cv,13,764,0.046412805931588086,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,active_cv,13,764,0.08228368783292563,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,13,764,0.04365450099651025,0.061219465446870416,0.05623469710544013,49,2
webis-touche2020,rr,2,0.01,uniform,14,767,0.06859333003450939,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,uniform_nz,14,767,0.04679600003708553,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,weighted,14,767,0.04060646759661196,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,active_judge,14,767,0.0880867178765652,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,strat_pilot,14,767,0.04127686533104218,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,weighted_cv,14,767,0.0341437599433125,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,active_cv,14,767,0.058063411475858515,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,weighted_cvl,14,767,0.03291353496894546,0.04060646759661196,0.014273500235574537,49,0
webis-touche2020,rr,2,0.01,uniform,15,766,0.1460684565764392,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,uniform_nz,15,766,0.07588425489002362,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,weighted,15,766,0.051812885099963554,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,active_judge,15,766,0.15113704016631418,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,strat_pilot,15,766,0.05342501880830094,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,weighted_cv,15,766,0.03943433103005582,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,active_cv,15,766,0.08005284971810074,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,15,766,0.03941379848615688,0.051812885099963554,0.04858899498645763,49,2
webis-touche2020,rr,2,0.01,uniform,16,760,0.06038792135418648,0.03784102613913136,0.02183822653095099,49,0
webis-touche2020,rr,2,0.01,uniform_nz,16,760,0.051151148914075996,0.03784102613913136,0.02183822653095099,49,0
webis-touche2020,rr,2,0.01,weighted,16,760,0.03784102613913136,0.03784102613913136,0.02183822653095099,49,0
webis-touche2020,rr,2,0.01,active_judge,16,760,0.08592966428769121,0.03784102613913136,0.02183822653095099,49,0
webis-touche2020,rr,2,0.01,strat_pilot,16,760,0.0385045649253641,0.03784102613913136,0.02183822653095099,49,0
webis-touche2020,rr,2,0.01,weighted_cv,16,760,0.030523521253565174,0.03784102613913136,0.02183822653095099,49,0
